trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.01, 'e': 0.8449999999999999}",20,0,-105.61889247110574,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.8399999999999999}",30,0,-239.93935714478386,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 5}",0
33,False,"{'a': 0.01, 'e': 0.8349999999999999}",30,0,-38.09582310258126,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.8299999999999998}",20,0,-133.28600768673945,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.8249999999999998}",20,0,-42.996221809032534,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.8199999999999998}",30,0,-189.36377289285215,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.8149999999999998}",30,11,-60.9294942821121,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.8099999999999998}",30,0,-142.27789310711958,"{0: 19, 1: 3, 2: 3, 3: 4, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.8049999999999998}",25,0,-145.0276113617514,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.7999999999999998}",30,1,-59.98957993187929,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.7949999999999998}",20,0,-66.19769108966162,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.7899999999999998}",25,0,-111.45246259874608,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.7849999999999998}",25,11,3.765806204731102,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.7799999999999998}",20,0,-31.995458851084287,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.7749999999999998}",20,0,-121.38165682874023,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.7699999999999998}",20,0,-6.569480276982397,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.7649999999999998}",25,0,-132.941144520711,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
